 customer_id |       name        | total_payment | percentile 
-------------+-------------------+---------------+------------
         526 | KARL SEAL         |        221.55 |        100
         148 | ELEANOR HUNT      |        216.54 |        100
         144 | CLARA SHAW        |        195.58 |        100
         137 | RHONDA KENNEDY    |        194.61 |        100
         178 | MARION SNYDER     |        194.61 |        100
         459 | TOMMY COLLAZO     |        186.62 |         99
         469 | WESLEY BULL       |        177.60 |         99
         468 | TIM CARY          |        175.61 |         99
         236 | MARCIA DEAN       |        175.58 |         99
         181 | ANA BRADLEY       |        174.66 |         99
         176 | JUNE CARROLL      |        173.63 |         99
         259 | LENA JENSEN       |        170.67 |         98
          50 | DIANE COLLINS     |        169.65 |         98
         522 | ARNOLD HAVENS     |        167.67 |         98
         410 | CURTIS IRBY       |        167.62 |         98
         403 | MIKE WAY          |        166.65 |         98
         295 | DAISY BATES       |        162.62 |         98
         209 | TONYA CHAPMAN     |        161.68 |         97
         373 | LOUIS LEONE       |        161.65 |         97
         470 | GORDON ALLARD     |        160.68 |         97
         187 | BRITTANY RILEY    |        159.72 |         97
         550 | GUY BROWNLEE      |        159.68 |         97
         462 | WARREN SHERROD    |        159.67 |         97
         267 | MARGIE WADE       |        159.64 |         96
         293 | MAE FLETCHER      |        158.69 |         96
         372 | STEVE MACKENZIE   |        158.66 |         96
         273 | PRISCILLA LOWE    |        157.65 |         96
         368 | HARRY ARCE        |        157.65 |         96
         346 | ARTHUR SIMPKINS   |        155.68 |         96
          21 | MICHELLE CLARK    |        155.65 |         95
          75 | TAMMY SANDERS     |        155.59 |         95
         197 | SUE PETERS        |        154.60 |         95
         119 | SHERRY MARSHALL   |        153.66 |         95
         532 | NEIL RENNER       |        152.68 |         95
         390 | SHAWN HEATON      |        152.67 |         95
          26 | JESSICA HALL      |        152.66 |         94
         274 | NAOMI JENNINGS    |        152.65 |         94
         506 | LESLIE SEWARD     |        152.65 |         94
         366 | BRANDON HUEY      |        152.63 |         94
           7 | MARIA MILLER      |        151.67 |         94
         454 | ALEX GRESHAM      |        151.67 |         94
         211 | STACEY MONTGOMERY |        151.66 |         93
         196 | ALMA AUSTIN       |        151.65 |         93
         439 | ALEXANDER FENNELL |        151.64 |         93
         257 | MARSHA DOUGLAS    |        151.63 |         93
         360 | RALPH MADRIGAL    |        150.66 |         93
         371 | BILLY POULIN      |        149.65 |         93
         513 | DUANE TUBBS       |        148.69 |         92
          86 | JACQUELINE LONG   |        148.67 |         92
         309 | CHRISTOPHER GRECO |        147.69 |         92
         204 | ROSEMARY SCHMIDT  |        147.65 |         92
         103 | GLADYS HAMILTON   |        146.69 |         92
         479 | ZACHARY HITE      |        146.69 |         92
         348 | ROGER QUINTANILLA |        146.64 |         91
          87 | WANDA PATTERSON   |        145.70 |         91
         362 | NICHOLAS BARFIELD |        145.68 |         91
         172 | BERNICE WILLIS    |        145.67 |         91
         436 | TROY QUIGLEY      |        144.70 |         91
         277 | OLGA JIMENEZ      |        144.68 |         91
         237 | TANYA GILBERT     |        144.67 |         90
          66 | JANICE WARD       |        144.66 |         90
           5 | ELIZABETH BROWN   |        144.62 |         90
         363 | ROY WHITING       |        143.71 |         90
         337 | JERRY JORDON      |        143.71 |         90
         120 | SYLVIA ORTIZ      |        143.68 |         90
(65 rows)

